lambda,g
320.187,713
320.3548279,610
320.5229492,645
320.69104,749
320.8591614,702
321.0272522,686
321.195343,863
321.3634338,756
321.5315247,722
321.699585,773
321.8676453,825
322.0357056,743
322.2037659,718
322.3718262,763
322.539856,690
322.7079163,726
322.875946,647
323.0439758,781
323.2119751,821
323.3800049,683
323.5480042,669
323.7160339,713
323.8840027,626
324.052002,788
324.2200012,681
324.38797,764
324.5559387,804
324.7239075,763
324.8918762,790
325.059845,850
325.2277832,744
325.395752,814
325.5636902,845
325.7315979,829
325.8995361,795
326.0674744,710
326.2353821,757
326.4032898,724
326.5711975,780
326.7391052,863
326.9069824,643
327.0748596,784
327.2427673,880
327.410614,752
327.5784912,673
327.7463684,781
327.9142151,816
328.0820618,710
328.2499084,800
328.4177551,690
328.5856018,814
328.753418,750
328.9212341,843
329.0890503,872
329.2568665,787
329.4246826,981
329.5924683,657
329.7602539,815
329.9280396,608
330.0958252,659
330.2636108,850
330.431366,658
330.5991516,807
330.7669067,780
330.9346313,747
331.1023865,735
331.2701416,809
331.4378662,897
331.6055908,696
331.7733154,751
331.94104,661
332.1087341,706
332.2764587,628
332.4441528,810
332.6118469,841
332.7795105,982
332.9472046,789
333.1148682,698
333.2825317,821
333.4501953,804
333.6178589,873
333.7855225,754
333.9531555,801
334.1207886,738
334.2884216,660
334.4560547,618
334.6236877,697
334.7912903,664
334.9588928,681
335.1264954,698
335.2940979,867
335.4617004,718
335.6292725,824
335.796875,802
335.964447,651
336.1319885,755
336.2995605,755
336.4671326,758
336.6346741,783
336.8022156,867
336.9697571,719
337.1372986,741
337.3048096,751
337.4723206,779
337.6398315,713
337.8073425,683
337.9748535,782
338.1423645,731
338.309845,763
338.4773254,664
338.6448059,631
338.8122864,695
338.9797363,611
339.1471863,675
339.3146667,806
339.4821167,645
339.6495361,709
339.8169861,819
339.9844055,781
340.151825,653
340.3192444,592
340.4866638,672
340.6540833,645
340.8214722,606
340.9888611,720
341.15625,768
341.3236389,712
341.4910278,812
341.6583862,733
341.8257446,714
341.993103,736
342.1604614,662
342.3278198,660
342.4951477,780
342.6624756,755
342.8298035,840
342.9971313,713
343.1644592,762
343.3317566,890
343.499054,733
343.6663513,648
343.8336487,728
344.000946,831
344.1682129,661
344.3355103,652
344.5027771,726
344.6700439,740
344.8372803,821
345.0045471,826
345.1717834,784
345.3390198,701
345.5062561,738
345.6734924,712
345.8406982,879
346.0079041,682
346.1751099,632
346.3423157,693
346.5095215,684
346.6766968,681
346.8439026,733
347.0110779,830
347.1782532,732
347.3453979,786
347.5125732,582
347.679718,834
347.8468628,793
348.0140076,656
348.1811523,769
348.3482666,709
348.5154114,749
348.6825256,708
348.8496399,780
349.0167236,724
349.1838379,732
349.3509216,756
349.5180054,750
349.6850891,716
349.8521729,916
350.0192261,666
350.1863098,666
350.353363,797
350.5204163,696
350.6874695,666
350.8544922,657
351.0215149,911
351.1885376,764
351.3555603,742
351.522583,715
351.6896057,658
351.8565979,855
352.0235901,700
352.1905823,681
352.3575745,937
352.5245361,949
352.6915283,913
352.85849,904
353.0254517,672
353.1923828,694
353.3593445,692
353.5262756,556
353.6932068,744
353.8601379,638
354.0270691,705
354.1940002,698
354.3609009,656
354.5278015,748
354.6947021,739
354.8616028,710
355.0284729,779
355.1953735,928
355.3622437,750
355.5291138,825
355.6959839,719
355.8628235,799
356.0296631,818
356.1965332,717
356.3633423,660
356.5301819,797
356.6970215,729
356.8638306,879
357.0306396,844
357.1974487,716
357.3642578,718
357.5310364,734
357.6978455,733
357.864624,618
358.0314026,906
358.1981506,621
358.3649292,849
358.5316772,626
358.6984253,915
358.8651733,799
359.0319214,852
359.1986694,734
359.365387,759
359.5321045,733
359.698822,927
359.8655396,794
360.0322266,671
360.1989441,827
360.3656311,624
360.5323181,591
360.6989746,801
360.8656616,885
361.0323181,813
361.1989746,878
361.3656311,841
361.5322876,936
361.6989136,692
361.8655701,700
362.032196,643
362.198822,708
362.3654175,654
362.5320435,614
362.6986389,606
362.8652344,821
363.0318298,816
363.1984253,757
363.3649902,717
363.5315552,717
363.6981201,698
363.8646851,840
364.03125,766
364.1977844,700
364.3643494,682
364.5308838,801
364.6974182,850
364.8639221,791
365.0304565,656
365.1969604,673
365.3634644,646
365.5299683,693
365.6964722,687
365.8629456,724
366.0294189,814
366.1958923,617
366.3623657,594
366.5288391,743
366.695282,598
366.8617249,695
367.0281677,780
367.1946106,801
367.3610535,759
367.5274658,597
367.6938782,847
367.8602905,754
368.0267029,730
368.1931152,871
368.3594971,810
368.5258789,773
368.6922607,697
368.8586426,759
369.0250244,641
369.1913757,737
369.3577271,698
369.5240784,698
369.6904297,671
369.8567505,722
370.0231018,774
370.1894226,657
370.3557434,579
370.5220642,833
370.6883545,799
370.8546448,671
371.0209656,588
371.1872559,773
371.3535156,806
371.5198059,853
371.6860657,907
371.8523254,700
372.0185852,904
372.184845,691
372.3510742,922
372.5173035,633
372.6835632,696
372.849762,664
373.0159912,581
373.1822205,643
373.3484192,718
373.5146179,580
373.6808167,752
373.8469849,694
374.0131836,689
374.1793518,751
374.34552,666
374.5116882,556
374.6778259,709
374.8439941,850
375.0101318,777
375.1762695,669
375.3424072,818
375.5085144,698
375.6746521,669
375.8407593,764
376.0068665,726
376.1729736,653
376.3390503,727
376.5051575,714
376.6712341,616
376.8373108,587
377.0033875,662
377.1694336,725
377.3354797,691
377.5015259,848
377.667572,793
377.8336182,675
377.9996643,612
378.1656799,741
378.3316956,742
378.4977112,612
378.6637268,661
378.8297119,820
378.995697,616
379.1616821,623
379.3276672,796
379.4936523,790
379.6596069,728
379.8255615,716
379.9915161,703
380.1574707,856
380.3234253,633
380.4893494,748
380.6552734,716
380.8211975,709
380.9871216,824
381.1530457,782
381.3189392,744
381.4848328,764
381.6507263,772
381.8166199,892
381.9825134,793
382.1483765,864
382.3142395,740
382.4801025,862
382.6459656,896
382.8117981,698
382.9776306,852
383.1434631,674
383.3092957,619
383.4751282,780
383.6409302,601
383.8067627,688
383.9725647,741
384.1383667,699
384.3041382,676
384.4699402,744
384.6357117,708
384.8014832,614
384.9672546,801
385.1329956,732
385.2987671,746
385.4645081,668
385.630249,801
385.7959595,736
385.9617004,680
386.1274109,663
386.2931519,732
386.4588318,606
386.6245422,622
386.7902527,782
386.9559326,613
387.1216125,764
387.2872925,671
387.4529724,779
387.6186218,617
387.7842712,670
387.9499207,700
388.1155701,753
388.2812195,699
388.4468384,794
388.6124573,689
388.7780762,704
388.9436951,792
389.109314,677
389.2749023,665
389.4404907,618
389.6060791,800
389.7716675,822
389.9372253,656
390.1028137,638
390.2683716,625
390.4339294,674
390.5994568,935
390.7650146,734
390.930542,713
391.0960693,702
391.2615967,757
391.427124,785
391.5926208,731
391.7581177,676
391.9236145,625
392.0891113,618
392.2546082,796
392.4200745,647
392.5855408,690
392.7510071,708
392.9164734,597
393.0819397,706
393.2473755,633
393.4128113,807
393.5782471,734
393.7436829,758
393.9090881,703
394.0744934,646
394.2399292,777
394.405304,579
394.5707092,699
394.736084,605
394.9014893,775
395.066864,732
395.2322083,605
395.397583,669
395.5629272,816
395.728302,745
395.8936462,716
396.05896,618
396.2243042,688
396.3896179,680
396.5549316,882
396.7202454,716
396.8855591,761
397.0508423,686
397.216156,816
397.3814392,667
397.5467224,760
397.7119751,644
397.8772583,699
398.042511,772
398.2077637,741
398.3730164,736
398.5382385,752
398.7034607,691
398.8687134,760
399.0339355,658
399.1991272,704
399.3643494,816
399.529541,1001
399.6947327,654
399.8599243,733
400.025116,748
400.1902771,692
400.3554382,620
400.5205994,977
400.6857605,840
400.8509216,652
401.0160522,674
401.1811829,714
401.3463135,704
401.5114441,704
401.6765747,712
401.8416748,769
402.0067749,583
402.171875,752
402.3369751,698
402.5020447,572
402.6671143,626
402.8321838,811
402.9972534,692
403.162323,827
403.3273621,842
403.4924316,689
403.6574707,665
403.8224792,690
403.9875183,721
404.1525269,713
404.3175354,668
404.4825439,644
404.6475525,767
404.8125305,678
404.9775391,540
405.1425171,618
405.3074951,734
405.4724426,649
405.6374207,731
405.8023682,784
405.9673157,827
406.1322632,687
406.2971802,630
406.4621277,673
406.6270447,648
406.7919617,789
406.9568481,693
407.1217651,673
407.2866516,734
407.4515381,728
407.6164246,592
407.781311,736
407.946167,654
408.1110229,757
408.2758789,734
408.4407349,766
408.6055908,564
408.7704163,769
408.9352417,692
409.1000671,741
409.2648926,913
409.4296875,694
409.5944824,634
409.7592773,692
409.9240723,686
410.0888672,734
410.2536316,603
410.4184265,779
410.5831909,708
410.7479248,789
410.9126892,683
411.0774231,725
411.242157,549
411.4068909,666
411.5716248,694
411.7363281,613
411.901062,846
412.0657654,664
412.2304688,657
412.3951416,783
412.559845,682
412.7245178,661
412.8891907,728
413.053833,674
413.2185059,867
413.3831482,629
413.5477905,580
413.7124329,624
413.8770752,599
414.041687,593
414.2063293,626
414.3709412,590
414.535553,724
414.7001343,641
414.8647156,656
415.0293274,693
415.1939087,627
415.3584595,748
415.5230408,632
415.6875916,678
415.8521423,864
416.0166931,485
416.1812439,662
416.3457642,612
416.5102844,987
416.6748047,680
416.839325,750
417.0038452,661
417.168335,650
417.3328247,755
417.4973145,658
417.6618042,665
417.8262634,786
417.9907227,585
418.1551819,597
418.3196411,787
418.4841003,670
418.6485291,865
418.8129578,726
418.9773865,716
419.1418152,781
419.3062439,701
419.4706421,756
419.6350403,705
419.7994385,800
419.9638367,740
420.1282043,742
420.292572,806
420.4569397,694
420.6213074,738
420.785675,630
420.9500122,817
421.1143494,643
421.2786865,695
421.4430237,905
421.6073303,735
421.771637,664
421.9359436,645
422.1002502,727
422.2645569,700
422.428833,713
422.5931091,662
422.7573853,540
422.9216614,739
423.085907,728
423.2501831,788
423.4144287,593
423.5786743,676
423.7428894,671
423.907135,726
424.0713501,758
424.2355652,684
424.3997803,804
424.5639648,671
424.7281494,645
424.892334,765
425.0565186,644
425.2207031,600
425.3848572,927
425.5490417,788
425.7131958,632
425.8773193,608
426.0414734,760
426.2055969,693
426.3697205,656
426.533844,746
426.6979675,670
426.8620605,728
427.0261841,766
427.1902771,764
427.3543701,775
427.5184326,767
427.6825256,634
427.8465881,679
428.0106506,770
428.1746826,609
428.3387451,781
428.5027771,757
428.6668091,747
428.8308411,609
428.9948425,722
429.1588745,696
429.322876,604
429.4868774,827
429.6508789,716
429.8148499,725
429.9788208,872
430.1428223,762
430.3067627,679
430.4707336,676
430.6346741,752
430.798645,602
430.9625854,675
431.1264954,689
431.2904358,694
431.4543457,724
431.6182556,841
431.7821655,659
431.9460754,698
432.1099548,683
432.2738342,670
432.4377136,776
432.601593,871
432.7654419,687
432.9293213,589
433.0931702,709
433.257019,684
433.4208374,549
433.5846863,631
433.7485046,706
433.912323,662
434.0761414,560
434.2399292,822
434.4037476,689
434.5675354,871
434.7312927,601
434.8950806,596
435.0588684,787
435.2226257,676
435.3863831,889
435.5501099,790
435.7138672,614
435.877594,745
436.0413208,774
436.2050476,812
436.3687744,661
436.5324707,769
436.6961975,594
436.8598938,671
437.0235596,804
437.1872559,738
437.3509216,790
437.5145874,639
437.6782532,883
437.8419189,704
438.0055542,827
438.1691895,759
438.3328247,911
438.49646,569
438.6600952,668
438.8237,877
438.9873047,729
439.1509094,693
439.3145142,686
439.4780884,736
439.6416626,748
439.8052368,698
439.968811,768
440.1323547,667
440.295929,750
440.4594727,726
440.6230164,753
440.7865295,596
440.9500732,633
441.1135864,719
441.2770996,761
441.4406128,790
441.6040955,784
441.7675781,728
441.9310608,631
442.0945435,622
442.2580261,575
442.4214783,726
442.5849304,736
442.7483826,621
442.9118347,679
443.0752869,757
443.2387085,593
443.4021301,836
443.5655518,604
443.7289429,791
443.8923645,688
444.0557556,654
444.2191467,850
444.3825073,722
444.5458984,763
444.709259,646
444.8726196,717
445.0359802,707
445.1993408,767
445.3626709,713
445.526001,793
445.6893311,762
445.8526611,743
446.0159607,677
446.1792603,630
446.3425598,854
446.5058594,709
446.6691589,737
446.832428,804
446.995697,615
447.1589661,793
447.3222351,754
447.4854736,652
447.6487122,598
447.8119507,693
447.9751892,570
448.1384277,745
448.3016357,732
448.4648438,735
448.6280518,600
448.7912292,689
448.9544373,756
449.1176147,750
449.2807922,589
449.4439697,698
449.6071167,716
449.7702637,732
449.9334106,697
450.0965576,760
450.2597046,671
450.422821,790
450.5859375,574
450.749054,764
450.9121704,582
451.0752563,735
451.2383728,767
451.4014587,671
451.5645142,774
451.7276001,707
451.8906555,813
452.0537109,773
452.2167664,741
452.3798218,793
452.5428467,835
452.7059021,774
452.868927,648
453.0319214,738
453.1949463,614
453.3579407,853
453.5209351,603
453.6839294,824
453.8469238,731
454.0098877,667
454.1728516,802
454.3358154,619
454.4987793,744
454.6617126,801
454.824646,675
454.9875793,617
455.1505127,669
455.313446,772
455.4763489,622
455.6392517,651
455.8021545,722
455.9650574,620
456.1279297,686
456.290802,739
456.4536743,777
456.6165466,709
456.7794189,668
456.9422607,869
457.1051025,697
457.2679443,702
457.4307556,778
457.5935974,732
457.7564087,734
457.91922,652
458.0820313,679
458.244812,811
458.4075928,704
458.5703735,617
458.7331543,756
458.8959351,631
459.0586853,783
459.2214355,598
459.3841858,702
459.5469055,766
459.7096558,685
459.8723755,673
460.0350952,633
460.1978149,827
460.3605042,699
460.5231934,772
460.6858826,624
460.8485718,618
461.011261,771
461.1739197,685
461.3365784,912
461.4992371,834
461.6618958,691
461.8245239,757
461.9871521,660
462.1497803,658
462.3124084,651
462.4750366,755
462.6376343,634
462.8002319,678
462.9628296,797
463.1253967,729
463.2879944,783
463.4505615,763
463.6131287,775
463.7756653,594
463.9382324,794
464.100769,693
464.2633057,619
464.4258423,681
464.5883484,667
464.750885,749
464.9133911,782
465.0758972,769
465.2383728,754
465.4008789,685
465.5633545,714
465.7258301,673
465.8882751,754
466.0507507,711
466.2131958,680
466.3756409,617
466.5380859,670
466.7005005,707
466.8629456,657
467.0253601,618
467.1877441,690
467.3501587,689
467.5125427,777
467.6749573,650
467.8373108,677
467.9996948,795
468.1620789,670
468.3244324,722
468.4867859,611
468.6491394,630
468.8114624,795
468.9737854,751
469.1361084,699
469.2984314,771
469.4607544,887
469.6230469,725
469.7853394,765
469.9476318,751
470.1099243,837
470.2721863,855
470.4344788,732
470.5967407,792
470.7589722,585
470.9212341,728
471.0834656,735
471.245697,852
471.4079285,716
471.5701599,698
471.7323608,704
471.8945618,727
472.0567627,756
472.2189636,908
472.381134,777
472.5433044,744
472.7054749,929
472.8676453,824
473.0297852,884
473.1919556,878
473.3540955,926
473.5162354,800
473.6783447,908
473.8404541,926
474.002594,1183
474.1646729,825
474.3267822,906
474.4888611,948
474.6509705,1095
474.8130493,1017
474.9750977,852
475.1371765,881
475.2992249,848
475.4612732,1155
475.6233215,1002
475.7853394,1004
475.9473877,958
476.1094055,896
476.2714233,1049
476.4334106,1193
476.5953979,1088
476.7574158,987
476.9194031,1110
477.0813599,1128
477.2433472,1050
477.405304,1224
477.5672607,1083
477.7292175,1181
477.8911438,1280
478.0530701,1227
478.2149963,1286
478.3769226,1279
478.5388489,1264
478.7007446,1358
478.8626404,1361
479.0245361,1427
479.1864319,1367
479.3482971,1356
479.5101624,1161
479.6720276,1250
479.8338928,1361
479.9957275,1443
480.1575928,1436
480.3194275,1394
480.4812317,1427
480.6430664,1360
480.8048706,1441
480.9666748,1530
481.128479,1519
481.2902832,1411
481.4520569,1504
481.6138306,1532
481.7756042,1407
481.9373779,1635
482.0991211,1551
482.2608643,1608
482.4226074,1622
482.5843506,1631
482.7460632,1569
482.9078064,1641
483.069519,1634
483.2312012,1593
483.3929138,1541
483.5545959,1778
483.7162781,1578
483.8779602,1579
484.0396423,1748
484.2012939,1612
484.3629456,1615
484.5245972,1769
484.6862488,1739
484.8478699,1650
485.009491,1658
485.1711121,1707
485.3327332,1636
485.4943237,1795
485.6559448,1851
485.8175354,1563
485.9790955,1701
486.140686,1764
486.3022461,1641
486.4638062,1911
486.6253662,1613
486.7869263,1864
486.9484558,1792
487.1099854,1796
487.2715149,1935
487.4330444,1918
487.5945435,1786
487.7560425,1838
487.9175415,1916
488.0790405,1897
488.240509,1827
488.4019775,1729
488.563446,1759
488.7249146,1836
488.8863831,1802
489.047821,1777
489.209259,1840
489.370697,1815
489.5321045,1970
489.6935425,1907
489.85495,1830
490.0163574,1946
490.1777344,2037
490.3391418,1813
490.5005188,1851
490.6618958,1861
490.8232422,1831
490.9846191,1782
491.1459656,1774
491.307312,1801
491.4686584,1738
491.6299744,1827
491.7912903,1925
491.9526062,1909
492.1139221,1738
492.275238,1847
492.4365234,1915
492.5978088,1770
492.7590942,1804
492.9203491,1789
493.0816345,1859
493.2428894,1899
493.4041443,1949
493.5653687,2032
493.7266235,1886
493.8878479,1763
494.0490723,1969
494.2102661,1856
494.3714905,1850
494.5326843,1901
494.6938782,2027
494.855072,1850
495.0162354,1936
495.1773987,2033
495.338562,1844
495.4997253,1843
495.6608887,1965
495.8220215,1874
495.9831543,1966
496.1442871,1996
496.3053894,1791
496.4665222,1906
496.6276245,1781
496.7886963,1895
496.9497986,2124
497.1108704,1847
497.2719727,1785
497.4330139,1806
497.5940857,1973
497.7551575,1918
497.9161987,1885
498.07724,1840
498.2382507,1819
498.399292,1712
498.5603027,2021
498.7213135,1894
498.8823242,1962
499.0433044,1947
499.2042847,1676
499.3652649,1946
499.5262451,1933
499.6872253,1881
499.848175,1913
500.0091248,1904
500.1700745,1885
500.3310242,1956
500.4919434,1986
500.6528625,1826
500.8137817,1986
500.9746704,1922
501.1355896,1974
501.2964783,1867
501.4573669,1979
501.6182556,2049
501.7791138,1993
501.9399719,2017
502.1008301,2033
502.2616882,2041
502.4225159,2118
502.5833435,2090
502.7441711,2070
502.9049988,2104
503.0658264,2006
503.2266235,2157
503.3874207,2003
503.5482178,2133
503.7089844,2248
503.869751,2101
504.0305481,2238
504.1912842,2207
504.3520508,2342
504.5127869,2224
504.6735229,2176
504.834259,2161
504.9949951,2253
505.1557007,2467
505.3164063,2454
505.4771118,2282
505.6378174,2396
505.7984924,2416
505.9591675,2315
506.1198425,2599
506.2805176,2391
506.4411621,2410
506.6018066,2384
506.7624512,2351
506.9230957,2575
507.0837402,2523
507.2443542,2541
507.4049683,2546
507.5655518,2651
507.7261658,2563
507.8867493,2563
508.0473328,2514
508.2079163,2779
508.3684692,2707
508.5290527,2737
508.6896057,2763
508.8501587,2807
509.0106812,2775
509.1712036,2767
509.3317566,2830
509.4922485,2893
509.652771,3027
509.8132629,2991
509.9737549,2965
510.1342468,3023
510.2947388,3092
510.4552002,3081
510.6156616,3051
510.776123,3234
510.9365845,3221
511.0970154,3308
511.2574463,3158
511.4178772,3237
511.5783081,3353
511.7387085,3304
511.8991394,3356
512.0595093,3539
512.2199097,3584
512.3803101,3588
512.5406494,3558
512.7010498,3512
512.8613892,3765
513.0217285,3554
513.1821289,3564
513.3424683,3801
513.5027466,3624
513.6630859,3844
513.8234253,3955
513.9837036,3940
514.144043,3936
514.3043213,3922
514.4645996,4056
514.6248779,4155
514.7851563,4044
514.9454346,4184
515.1056519,4177
515.2659302,4062
515.4261475,4197
515.5864258,4310
515.7466431,4336
515.9068604,4556
516.0670776,4517
516.2272949,4608
516.3874512,4357
516.5476685,4512
516.7078247,4468
516.868042,4664
517.0281982,4534
517.1883545,4804
517.3485107,4922
517.508667,4560
517.6687622,4660
517.8289185,4533
517.9890137,4780
518.1491699,4791
518.3092651,4922
518.4693604,4952
518.6294556,4930
518.7895508,4806
518.949585,5033
519.1096802,5083
519.2697754,5094
